i,v1,v2lin,v3
1027,3,3,3
1028,11,0,2
1029,18,7,1
1030,2,15,2
1031,4,0,3
1032,11,20,0
1033,2,24,1
1034,28,0,0
1035,19,0,1
1036,19,16,0
1037,10,20,0
1038,6,27,0
1039,9,3,2
1040,11,15,1
1041,19,5,1
1042,28,1,0
1043,3,23,1
1044,17,21,0
1045,0,33,0
1046,17,6,1
1047,7,15,1
1048,13,20,0
1049,8,5,2
1050,14,19,0
1051,8,19,1
1052,27,2,0
1053,4,11,2
1054,18,2,1
1055,27,11,0
1056,3,13,2
1057,5,30,0
1058,1,7,3
1059,5,18,1
1060,8,10,2
1061,12,23,0
1062,6,20,1
1063,7,7,2
1064,13,11,1
1065,24,6,0
1066,0,20,2
1067,4,19,1
1068,18,18,0
1069,24,10,0
1070,10,2,2
1071,4,31,0
1072,11,24,0
1073,23,10,0
1074,4,12,2
1075,8,14,1
1076,21,21,0
1077,9,4,2
1078,27,9,0
1079,21,11,0
1080,19,14,0
1081,19,1,1
1082,4,2,3
1083,1,27,1
1084,3,26,1
1085,9,18,1
1086,15,9,1
1087,15,23,0
1088,22,9,0
1089,4,1,3
1090,11,1,2
1091,1,8,3
1092,9,25,0
1093,0,10,3
1094,14,12,1
1095,2,16,2
1096,14,24,0
1097,14,13,1
1098,23,6,0
1099,5,10,2
1100,5,20,1
1101,14,10,1
1102,18,3,1
1103,1,26,1
1104,1,30,0
1105,28,3,0
1106,19,22,0
1107,12,19,0
1108,22,17,0
1109,10,6,2
1110,26,13,0
1111,20,22,0
1112,21,14,0
1113,6,9,2
1114,2,6,3
1115,23,15,0
1116,26,4,0
1117,24,8,0
1118,8,26,0
1119,9,13,1
1120,19,7,1
1121,12,14,1
1122,10,23,1
1123,13,25,0
1124,3,14,2
1125,3,32,0
1126,29,0,0
1127,17,4,1
1128,5,21,1
1129,20,5,1
1130,17,7,1
1131,20,0,1
1132,1,18,2
1133,22,12,0
1134,10,3,2
1135,27,12,0
1136,7,27,0
1137,29,2,0
1138,23,7,0
1139,7,8,2
1140,14,20,0
1141,5,0,3
1142,18,12,1
1143,11,5,2
1144,9,5,2
1145,12,0,2
1146,9,19,1
1147,0,21,2
1148,2,33,0
1149,0,28,1
1150,5,11,2
1151,28,8,0
1152,20,3,1
1153,17,22,0
1154,1,19,2
1155,0,11,3
1156,9,7,2
1157,12,20,1
1158,11,2,2
1159,29,1,0
1160,13,23,0
1161,6,28,0
1162,3,5,3
1163,8,7,2
1164,4,21,1
1165,4,13,2
1166,19,2,1
1167,18,6,1
1168,19,9,1
1169,7,20,1
1170,2,17,2
1171,28,2,0
1172,16,21,0
1173,3,15,2
1174,4,3,3
1175,1,10,3
1176,19,23,0
1177,10,4,2
1178,15,19,0
1179,20,19,0
1180,21,4,1
1181,5,31,0
1182,26,5,0
1183,9,17,1
1184,15,11,1
1185,1,9,3
1186,10,22,1
1187,19,3,1
1188,20,1,1
1189,0,34,0
1190,21,13,0
1191,17,14,1
1192,3,24,1
1193,15,24,0
1194,15,10,1
1195,4,26,1
1196,14,22,0
1197,2,7,3
1198,3,27,1
1199,24,9,0
1200,12,1,2
1201,6,10,2
1202,5,2,3
1203,22,23,0
1204,5,1,3
1205,13,5,2
1206,4,14,2
1207,11,16,1
1208,2,27,1
1209,11,6,2
1210,9,25,1
1211,5,20,2
1212,10,13,1
1213,5,12,2
1214,4,22,1
1215,7,23,1
1216,3,6,3
1217,14,25,0
1218,9,26,0
1219,21,5,1
1220,0,12,3
1221,16,9,1
1222,0,29,1
1223,21,0,1
1224,26,7,0
1225,23,4,1
1226,27,7,0
1227,30,0,0
1228,12,15,1
1229,11,23,1
1230,7,9,2
1231,25,6,0
1232,4,32,0
1233,12,22,1
1234,3,22,1
1235,1,20,2
1236,0,22,2
1237,11,3,2
1238,19,12,1
1239,2,8,3
1240,20,6,1
1241,8,8,2
1242,8,27,0
1243,15,20,0
1244,18,17,0
1245,11,12,1
1246,9,9,2
1247,10,17,1
1248,3,16,2
1249,28,7,0
1250,15,12,1
1251,6,11,2
1252,4,25,1
1253,17,8,1
1254,20,2,1
1255,19,6,1
1256,14,23,0
1257,4,4,3
1258,21,6,1
1259,20,9,1
1260,12,2,2
1261,2,25,1
1262,10,5,2
1263,13,0,2
1264,4,20,1
1265,3,33,0
1266,1,31,0
1267,13,14,1
1268,7,28,0
1269,4,5,3
1270,5,13,2
1271,21,19,0
1272,16,19,0
1273,20,15,0
1274,21,1,1
1275,10,8,2
1276,26,6,0
1277,6,0,3
1278,11,4,2
1279,14,18,0
1280,16,11,1
1281,16,10,1
1282,29,3,0
1283,24,21,0
1284,0,0,4
1285,13,1,2
1286,6,29,0
1287,0,13,3
1288,19,13,1
1289,23,9,0
1290,20,20,0
1291,4,15,2
1292,2,9,3
1293,15,22,0
1294,26,8,0
1295,23,23,0
