i,tau,E
1029,inf,1.60843
1030,inf,1.61028
1031,inf,1.61085
1032,inf,1.61146
1033,inf,1.6125
1034,inf,1.61261
1035,inf,1.61273
1036,inf,1.61299
1037,inf,1.6134
1038,inf,1.61374
1039,inf,1.6146
1040,inf,1.61567
1041,inf,1.61576
1042,inf,1.61658
1043,inf,1.61743
1044,inf,1.61745
1045,inf,1.61796
1046,inf,1.61852
1047,inf,1.62046
1048,inf,1.62096
1049,inf,1.62267
1050,inf,1.62276
1051,inf,1.6231
1052,inf,1.62339
1053,inf,1.62341
1054,inf,1.62434
1055,inf,1.62477
1056,inf,1.62528
1057,inf,1.62598
1058,inf,1.62758
1059,inf,1.62922
1060,inf,1.62953
1061,inf,1.63032
1062,inf,1.63093
1063,inf,1.63121
1064,inf,1.63183
1065,inf,1.6322
1066,inf,1.63246
1067,inf,1.63389
1068,inf,1.63397
1069,inf,1.63495
1070,inf,1.6354
1071,inf,1.63596
1072,inf,1.6368
1073,inf,1.63697
1074,inf,1.63716
1075,inf,1.63891
1076,inf,1.63943
1077,inf,1.64017
1078,inf,1.64046
1079,inf,1.64106
1080,inf,1.6429
1081,inf,1.64304
1082,inf,1.64393
1083,inf,1.6441
1084,inf,1.64411
1085,inf,1.64422
1086,inf,1.6443
1087,inf,1.64527
1088,inf,1.64615
1089,inf,1.64635
1090,inf,1.64655
1091,inf,1.64707
1092,inf,1.64719
1093,inf,1.64744
1094,inf,1.64794
1095,inf,1.64799
1096,inf,1.64857
1097,inf,1.64882
1098,inf,1.64903
1099,inf,1.65004
1100,inf,1.65046
1101,inf,1.65053
1102,inf,1.65061
1103,inf,1.65065
1104,inf,1.65138
1105,inf,1.65194
1106,inf,1.65211
1107,inf,1.65259
1108,inf,1.65276
1109,inf,1.65278
1110,inf,1.65326
1111,inf,1.65337
1112,inf,1.6535
1113,inf,1.65414
1114,inf,1.65592
1115,inf,1.65653
1116,inf,1.65669
1117,inf,1.65699
1118,inf,1.65856
1119,inf,1.65917
1120,inf,1.65925
1121,inf,1.65927
1122,inf,1.65964
1123,inf,1.6608
1124,inf,1.66106
1125,inf,1.66293
1126,inf,1.66304
1127,inf,1.66475
1128,inf,1.66516
1129,inf,1.66623
1130,inf,1.66716
1131,inf,1.66745
1132,inf,1.6681
1133,inf,1.66829
1134,inf,1.67057
1135,inf,1.67153
1136,inf,1.67199
1137,inf,1.67211
1138,inf,1.67215
1139,inf,1.6738
1140,inf,1.67422
1141,inf,1.67467
1142,inf,1.67532
1143,inf,1.67584
1144,inf,1.67751
1145,inf,1.67891
1146,inf,1.67891
1147,inf,1.67902
1148,inf,1.67999
1149,inf,1.68037
1150,inf,1.68064
1151,inf,1.68068
1152,inf,1.68076
1153,inf,1.68125
1154,inf,1.68205
1155,inf,1.68213
1156,inf,1.68393
1157,inf,1.68399
1158,inf,1.68405
1159,inf,1.68463
1160,inf,1.68506
1161,inf,1.68518
1162,inf,1.68594
1163,inf,1.68634
1164,inf,1.68648
1165,inf,1.68701
1166,inf,1.68726
1167,inf,1.68779
1168,inf,1.68844
1169,inf,1.68849
1170,inf,1.68888
1171,inf,1.69001
1172,inf,1.69095
1173,inf,1.69095
1174,inf,1.69099
1175,inf,1.69116
1176,inf,1.692
1177,inf,1.69452
1178,inf,1.69492
1179,inf,1.69523
1180,inf,1.69526
1181,inf,1.69562
1182,inf,1.69568
1183,inf,1.69683
1184,inf,1.69783
1185,inf,1.69796
1186,inf,1.69822
1187,inf,1.69991
1188,inf,1.70027
